                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.39214,                0.49619,                0.35983,                0.97636,                0.59749,                    0.6,                  0.597,                0.57477,                0.59749,                    0.6,                  0.597,                0.58351,                0.33792,                 0.3951,                 2.6941,                0.95016,             0.00068938,             0.00068938,             0.00068938
                     26,                0.39214,                0.50843,                0.36045,                0.98574,                0.59768,                    0.6,                0.62316,                0.59403,                0.59768,                    0.6,                0.62316,                0.60583,                0.32299,                0.38076,                 2.8861,                0.95131,             0.00067104,             0.00067104,             0.00067104
                     27,                0.40358,                0.50902,                0.36644,                0.98356,                0.59769,                    0.6,                0.61924,                0.58831,                0.59769,                    0.6,                0.61924,                0.59907,                0.38667,                0.36703,                 2.6723,                 1.0371,             0.00065271,             0.00065271,             0.00065271
                     28,                0.39318,                0.51916,                0.36442,                0.97837,                0.59788,                    0.6,                0.61089,                 0.5948,                0.59788,                    0.6,                0.61089,                0.59212,                0.31804,                0.39903,                 2.6243,                0.94859,             0.00063438,             0.00063438,             0.00063438
                     29,                 0.3803,                0.49512,                0.34108,                0.96228,                 0.5975,                    0.6,                  0.597,                0.56742,                 0.5975,                    0.6,                  0.597,                0.58375,                0.31847,                0.36477,                 2.9508,                0.94631,             0.00061605,             0.00061605,             0.00061605
                     30,                0.38456,                0.50351,                0.33816,                0.97298,                 0.5977,                    0.6,                  0.597,                 0.5869,                 0.5977,                    0.6,                  0.597,                0.58643,                0.31355,                 0.3536,                 2.7671,                0.94446,             0.00059772,             0.00059772,             0.00059772
                     31,                0.37443,                0.48364,                0.33596,                0.96602,                0.59833,                    0.6,                 0.5979,                0.57084,                0.59833,                    0.6,                 0.5979,                0.58673,                0.34019,                0.35962,                 2.9419,                 1.0129,             0.00057939,             0.00057939,             0.00057939
                     32,                0.35978,                0.48025,                  0.312,                0.95953,                0.59782,                    0.6,                  0.597,                0.57301,                0.59782,                    0.6,                  0.597,                0.58252,                 0.3362,                0.34763,                 3.1808,                0.98867,             0.00056105,             0.00056105,             0.00056105
                     33,                0.35741,                0.47336,                0.29669,                0.95382,                0.59789,                    0.6,                  0.597,                  0.579,                0.59789,                    0.6,                  0.597,                0.58979,                0.29607,                0.35403,                 3.3078,                0.91746,             0.00054272,             0.00054272,             0.00054272
                     34,                0.37223,                0.53448,                0.32239,                0.96185,                0.59838,                    0.6,                  0.597,                0.57818,                0.59838,                    0.6,                  0.597,                0.57951,                0.31265,                 0.3795,                 3.4835,                0.93588,             0.00052439,             0.00052439,             0.00052439
